Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012
240810205060011,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,288,979,34,"2,51",62585,39751741,77358,37698001,40815,29468097,72847,29260398
240810205060012,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,377,1222,324,"2,5",74988,39043105,80086,37610488,45907,3140876,69749,31091072
240810205060013,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,166,605,364,"3,45",79583,136983804,98587,151065133,56997,70849142,88071,82141273
240810205060014,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,341,1223,359,"2,87",13793,144489841,145616,141339401,77906,109572942,117613,118731814
240810205060015,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,187,722,386,"2,94",169195,395182129,176757,399502031,79841,184897861,124811,233028104
240810205060016,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,333,1231,37,"2,52",129872,263003356,146106,272190941,7994,146676468,114319,170484825
240810205060017,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,340,1394,41,"3,91",101699,102770601,110472,101941707,56291,64011419,86157,72251756
240810205060018,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,320,1244,389,"3,15",119216,136111777,136735,132144638,67879,83733802,108097,89880134
240810205060019,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,335,1226,366,3,132192,237740339,140585,241045903,7101,118854896,110229,141299031
240810205060020,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,337,1207,358,"2,2",14096,20229106,158345,199703409,79731,126784198,120944,142496951
240810205060021,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,326,1116,342,"2,3",84413,150095849,139688,171276139,54935,89366311,11372,118205541
240810205060022,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,320,1156,361,"2,8",136128,17435575,145688,172666865,73742,101288305,109972,111223174
240810205060023,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,333,1122,337,"2,1",129865,121832222,132654,120745833,73458,8678162,106328,9066926
240810205060024,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,339,1182,349,"2,56",176394,8720745057,188636,9304719981,83865,2891799532,134388,4568548461
240810205060025,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,379,1350,356,"2,73",11004,139443412,117149,14012585,58138,74893974,91727,87370421
240810205060026,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,298,1029,345,"3,76",95915,108897767,104317,109675073,57074,62301657,85002,69059465
240810205060027,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,312,1159,371,"2,6",109686,97582079,117198,95453725,60752,63219561,95264,66260554
240810205060028,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,1,192,659,343,"2,46",8319,74211901,97991,72903903,48927,46669666,83132,50873834
240810205060029,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,309,1096,355,"2,7",95927,111831442,107396,112888662,51091,57961239,82174,67698616
240810205060030,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,340,1136,334,"2,45",103899,50341437,1077,48082466,58385,43405248,8723,39682519
240810205060031,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,193,667,346,"2,21",128658,218890639,140288,222381429,61887,108731485,106041,13957533
240810205060032,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,1,270,892,33,"2,16",106779,165868445,114862,169153127,59604,96230431,94434,119620748
240810205060033,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102035,Redinha,1,1,346,1317,381,"3,89",43918,26464931,67237,2483088,24052,15737345,58181,18217241
240810205060034,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,265,941,355,"2,53",110758,10067576,11835,98582977,59231,6008559,92162,63147341
240810205060035,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,178,665,374,"3,47",153986,237770231,174583,233588705,76945,168658153,132381,216922264
240810205060036,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,219,736,336,"2,97",92842,57315244,97285,55728404,49323,40197084,81864,40077423
240810205060037,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,378,1334,353,"3,21",141269,22657742,156597,227160221,83004,170280122,126923,204678591
240810205060038,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,297,964,325,"2,38",106417,3353481893,114514,3600260145,53896,1239964441,87609,1987514168
240810205060039,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,282,1063,377,"2,92",191028,589643027,197326,596680755,94482,25763952,136186,314653346
240810205060040,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,277,999,361,"2,45",146082,207269611,154446,206215106,77023,111325759,115989,122468505
240810205060041,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,332,1059,319,"2,3",1382,539574083,150434,569031985,74751,234781165,112364,310774048
240810205060042,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,313,1091,349,"3,55",10735,112828258,114287,11218893,57291,61588698,88351,67546191
240810205060043,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,319,1195,375,"2,98",123306,138282317,136106,135204781,64838,89050037,107686,101777728
240810205060044,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,207,713,344,"2,08",101993,105332584,122038,10154971,57126,66308112,99688,73301635
240810205060045,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,281,986,351,"2,54",12716,153938615,133827,153084091,70716,112628921,105061,131277752
240810205060046,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102032,Salinas,1,1,223,803,36,"3,8",39835,17929766,45322,17912595,22675,11373353,41309,13027199
240810205060047,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,214,744,348,"3,73",64322,27339663,70589,25570439,38787,24082799,65088,23292219
240810205060048,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,189,685,362,"2,97",66439,62848034,74301,64453195,41005,34122174,6588,3844638
240810205060049,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,184,596,324,"2,36",79421,50412969,84471,49346545,47641,34502124,70481,34946647
240810205060050,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,402,1327,33,"2,53",79305,75419692,84564,75975269,49396,47635315,7442,53151531
240810205060051,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,322,1123,349,"2,89",68362,39189077,76432,37641731,41096,27132192,65091,27355625
240810205060052,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,341,1109,325,"2,64",100382,157621881,105323,160184679,59999,118639101,87443,148952335
240810205060053,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,384,1300,339,"2,85",85048,63371988,90466,62505152,49462,45153065,79238,48746596
240810205060054,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,217,712,328,"2,57",56646,25699739,68671,22881901,40343,24276209,64379,23263037
240810205060055,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,276,955,346,"2,63",72876,945500339,94876,1211315333,46184,334181423,7887,545351437
240810205060056,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,350,1242,355,"2,42",62494,98607305,73153,107659149,39892,66627315,67933,94457249
240810205060057,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,314,1063,339,"2,69",84066,53798491,89785,52318599,50524,38805251,77235,38690495
240810205060058,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,164,540,329,"2,65",88073,89972036,98259,90371729,51285,5424262,80387,61654742
240810205060059,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,267,911,341,"2,26",101522,92157883,107994,91039194,68083,1309866172,109512,2063102416
240810205060060,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,290,1055,364,"3,62",8449,54631162,90414,53099906,4594,35277729,75853,35558631
240810205060061,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,434,1370,316,2,87313,68529864,922,67858228,51849,44444789,7574,46831751
240810205060062,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,360,1298,361,"2,63",122427,186118655,131563,187993636,68192,119632043,105993,145918003
240810205060063,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,454,1517,334,"3,06",80683,71717618,86801,71845602,46311,42692307,72058,47880684
240810205060064,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,279,898,322,"2,88",69501,42269648,78189,40754425,40887,28820506,63686,30374382
240810205060065,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,339,1049,309,"2,66",64955,33384703,73644,31444975,40597,24214563,665,22435953
240810205060066,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,301,1054,35,3,73416,62453037,81845,62725655,47163,121366387,73365,169653177
240810205060067,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,222,682,307,"2,19",75266,54032975,83546,53054742,50308,38084211,75399,38160191
240810205060068,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,338,1208,357,"2,75",64723,40819954,73411,39918441,36995,27808272,64245,30789674
240810205060069,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,206,705,342,"2,87",62622,25436817,66496,24429287,36184,20260559,57996,19822502
240810205060070,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,301,1085,36,"2,66",50656,305132174,64883,381924854,30562,115347352,559,196987795
240810205060071,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,431,1540,357,"3,43",35187,23490871,47098,25840051,2513,14464265,46842,16794593
240810205060072,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,438,1620,37,"3,91",40818,14487815,51671,12727025,26085,11472897,48416,10481383
240810205060073,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,295,1056,358,"2,78",62444,148738994,68479,159020446,31926,62181516,57454,97309871
240810205060074,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,267,929,348,"2,86",46584,15039601,53844,13467605,28238,12329692,50515,10799831
240810205060075,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,315,1067,339,"2,38",6135,22187864,71576,18553724,35259,18302496,6064,160822
240810205060076,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,1,163,562,345,"2,85",58775,26858547,68923,24484486,36988,23803826,61422,24523194
240810205060077,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,1,211,719,341,"3,12",67971,25907677,710,24906865,36833,20586081,60958,19360114
240810205060078,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,1,260,868,334,"2,18",65736,42891862,70918,42596824,40286,27333818,56807,29161763
240810205060079,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,1,201,642,319,"2,15",52964,21396843,67807,17302518,4417,21334142,65018,17839646
240810205060080,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,351,1175,335,"2,65",9834,70332714,103656,68619351,54059,50586584,86088,52988799
240810205060081,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,375,1268,338,"2,72",81919,4244409,88785,39898135,46015,31405803,71643,30535063
240810205060082,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,235,747,318,"2,27",83036,92203998,97567,94171827,49148,53929588,81088,63100513
240810205060083,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,247,906,367,"2,95",83287,80100578,87915,80484375,459,56081053,71379,69051116
240810205060084,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,239,811,339,"2,07",72102,50117984,86162,47764928,56625,1459517829,101023,256185182
240810205060085,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,235,772,329,"2,2",75707,29966597,78722,28781328,45107,28726056,68239,27670094
240810205060086,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,355,1175,331,"2,09",71019,32092717,76631,30322692,40034,2427019,67532,22367098
240810205060087,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,249,819,329,"2,71",56771,2423317,63964,22695744,35845,18199997,58511,16442145
240810205060088,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,330,1061,322,"1,91",77785,37948162,80975,36918121,43155,27405358,7049,25492401
240810205060089,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,293,979,334,"2,3",74172,26957629,77894,25405677,45369,2718752,67319,2556183
240810205060090,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,216,723,335,"3,13",78927,49672018,83162,48811155,4755,36706201,70529,38241692
240810205060091,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,277,947,342,"2,04",69479,6960161,81549,71859631,42084,41459587,66605,49300377
240810205060092,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,351,1345,383,"2,64",107344,257025766,12115,273410177,5704,112444292,9384,150511564
240810205060093,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102029,Nossa Senhora da Apresentação,1,0,249,907,364,"3,13",9667,291566131,103308,304786701,46257,113602528,79653,169144178
